Word,Points,Info
156/39=4,1,8.81705406811248
1/3*27=9,1,8.817032081328138
18-4*3=6,1,8.816777397532165
1+64/8=9,1,8.81640651771584
1/7*56=8,1,8.816387534455687
6+12/4=9,1,8.815026658995494
8*5/10=4,1,8.814035967566268
9/27*3=1,1,8.814021967764972
8/56*7=1,1,8.813840039814007
5*4-12=8,1,8.813072466454583
3*8/1=24,1,8.813035357488864
1/8*56=7,1,8.812646630540236
7/56*8=1,1,8.812442031729566
8*6/4=12,1,8.812414862705456
4*5-12=8,1,8.81191748087323
16/4*2=8,1,8.811870598791941
4*6-21=3,1,8.81181151697357
3/27*9=1,1,8.810136099723866
32-4*6=8,1,8.809545664313099
8*4/2=16,1,8.809145371304137
6*4-21=3,1,8.807996153072896
5*6/10=3,1,8.807907916488766
6*5/10=3,1,8.807446030079154
4*8/1=32,1,8.80730156205842
196/28=7,1,8.806832237714493
2+16/8=4,1,8.806227337313238
158/79=2,1,8.804727410953909
3/9*21=7,1,8.80416884629502
5*4-18=2,1,8.803612194693564
4*5-18=2,1,8.803603608905544
3+12/6=5,1,8.803510730643037
9/18*6=3,1,8.803243666184326
168/7=24,1,8.802279011153015
13-2*4=5,1,8.801837739908876
4*6-23=1,1,8.801500237281012
6/18*9=3,1,8.801096955638707
3+21/7=6,1,8.800268324478806
4*7/1=28,1,8.799750409785009
3/7*21=9,1,8.799212767007027
15-2*4=7,1,8.797803168489333
4*5/20=1,1,8.79777885610432
6*4-23=1,1,8.797772263486795
4*9/2=18,1,8.796819487660363
9*8/3=24,1,8.796783227627207
7*4/1=28,1,8.79664530444847
15-2*6=3,1,8.795231197339026
4*9/3=12,1,8.794542961718552
8*4/1=32,1,8.79380212111992
1+45/9=6,1,8.79316569335268
16*2/4=8,1,8.792921122512434
7*6/1=42,1,8.792472864156165
5*8/40=1,1,8.79199249606409
5*4/20=1,1,8.791595517401603
32-6*4=8,1,8.79158860624718
8*3/1=24,1,8.79124395507731
13-4*2=5,1,8.79108633732613
4*9/1=36,1,8.79042183817016
1+35/7=6,1,8.790042098527337
5+12/3=9,1,8.789670680960514
12/6*4=8,1,8.789663653631065
174/58=3,1,8.789043772453567
3*9-21=6,1,8.788713556906705
512/64=8,1,8.78848401649537
6*7/1=42,1,8.788212206907389
6*8-41=7,1,8.787948201011318
8*9/3=24,1,8.787608524086894
5*6/30=1,1,8.787295761233183
16*2/8=4,1,8.786303950389668
25-4*6=1,1,8.786136413116044
15-4*2=7,1,8.785643778606953
9*4/2=18,1,8.785209088560446
6*5/30=1,1,8.785072674830374
7*6/3=14,1,8.784264259550051
24/3*1=8,1,8.783624143883305
9*4/3=12,1,8.783427193521613
9*4/1=36,1,8.782811723153026
15-2*3=9,1,8.782520536646
6*7/3=14,1,8.781382456218056
17-2*4=9,1,8.781163938604971
9*8/2=36,1,8.780860809482338
261/87=3,1,8.779478196086433
1+54/9=7,1,8.77935801626978
1+27/9=4,1,8.779330479927571
8*5/40=1,1,8.779282247951606
1+6*4=25,1,8.779055749280186
5+12/6=7,1,8.77884781829871
5+21/7=8,1,8.77851881460732
6+14/7=8,1,8.77800661774493
2+15/3=7,1,8.777936817150804
9*8/6=12,1,8.777452308119216
25-3*7=4,1,8.777062385851316
32/4*1=8,1,8.777055241833372
17-2*6=5,1,8.77622483089012
38-4*9=2,1,8.775897622261859
12*4/6=8,1,8.775616839057752
6*9/3=18,1,8.775358644655231
1+4*6=25,1,8.775193281707827
12*4/8=6,1,8.774821730177434
258/43=6,1,8.77469667606022
152/4=38,1,8.774686644203364
2*9-13=5,1,8.773888909850985
6+21/7=9,1,8.773747677347588
7+12/6=9,1,8.773722444477926
146/2=73,1,8.773540827898795
17-3*5=2,1,8.773361729935953
8*9/2=36,1,8.773233194586599
18/4*2=9,1,8.773106587578916
15-3*2=9,1,8.772991121169907
312/78=4,1,8.772774282692852
368/92=4,1,8.772606318751809
18-7*2=4,1,8.772490826224423
162/3=54,1,8.772159402388878
1+36/9=5,1,8.77211295490911
8*9/6=12,1,8.772072511090615
3+24/8=6,1,8.772048986091566
17-4*2=9,1,8.771472278864566
9*6/3=18,1,8.771413867667825
15-6*2=3,1,8.771361054645979
4*8-23=9,1,8.771006637188261
7*9-61=2,1,8.770857970106592
21-3*5=6,1,8.769875130688538
5*7-31=4,1,8.769755614705062
8*6-41=7,1,8.769591618838405
25-3*8=1,1,8.769190383285471
25-6*4=1,1,8.76855620544424
12/4*3=9,1,8.7685428366932
4*9-31=5,1,8.768035425290991
26-3*7=5,1,8.76782336703846
17-3*4=5,1,8.76780188732075
6*8-47=1,1,8.767383485007525
17-5*3=2,1,8.766879670602853
27-4*6=3,1,8.766177538235384
19-2*8=3,1,8.76607430668284
3*9-26=1,1,8.76605267840716
5*6-21=9,1,8.765852773036725
4*5-13=7,1,8.765783820110057
1+8*3=25,1,8.765287671834974
17-4*3=5,1,8.765127511439095
174/6=29,1,8.764971784506645
5*4-13=7,1,8.764430860506401
52-6*8=4,1,8.764297072564379
7*5-31=4,1,8.763857502434968
21-5*3=6,1,8.763829132182053
2*9-15=3,1,8.763754526950287
36-4*7=8,1,8.763685487345665
19-2*6=7,1,8.763520110324631
24-3*5=9,1,8.763158577259963
4*8-29=3,1,8.762868682472098
192/3=64,1,8.762365096461195
3+14/7=5,1,8.762260906774701
1+48/6=9,1,8.76225695590023
3+16/4=7,1,8.761375525772442
9*3-21=6,1,8.761113260669951
28/4*1=7,1,8.760756157540932
7*8-52=4,1,8.760631061844755
6*5-21=9,1,8.760497644243356
4*5-17=3,1,8.760386003978834
4*8-27=5,1,8.760021997314357
3*9/1=27,1,8.760007068841386
16/8*2=4,1,8.759853041950405
21-3*4=9,1,8.759758291696102
134/2=67,1,8.759720607220094
3*7-19=2,1,8.759700526029375
138/2=69,1,8.75895433814335
3*7-12=9,1,8.758874665147754
4*6-15=9,1,8.758799419429375
12/8*4=6,1,8.75876145887375
21-4*3=9,1,8.758753287538283
5*4-17=3,1,8.758532705906376
316/79=4,1,8.758526631010946
25-3*6=7,1,8.758451388657319
1+8*6=49,1,8.758331646003839
6*9-51=3,1,8.757511779924888
1+56/7=9,1,8.757490661640064
1+9*3=28,1,8.757188020257757
4*8-25=7,1,8.757038216393589
5*8-34=6,1,8.757006087542441
24*1/3=8,1,8.756927846562899
3*7-15=6,1,8.756727450474143
14*3/7=6,1,8.756460535227216
4*6-19=5,1,8.756245073384145
19-3*5=4,1,8.755380075739911
9*7-61=2,1,8.75515104204788
5*8-31=9,1,8.755036629449005
186/2=93,1,8.755016004493942
4+15/3=9,1,8.754906237304713
31-4*6=7,1,8.754889547956559
5*8-36=4,1,8.754829304763309
19-3*4=7,1,8.75478014646169
28-3*9=1,1,8.754700221785484
32*1/4=8,1,8.754694152690844
3+16/8=5,1,8.754231444430065
4*7-23=5,1,8.75419893102778
9*2-13=5,1,8.754157471310602
29-4*6=5,1,8.754009260824152
5*9-43=2,1,8.753996782289885
7*8-54=2,1,8.753668196663117
24-5*3=9,1,8.753645354407215
196/7=28,1,8.753332598513778
5*82=410,1,8.753330681163554
3+42/7=9,1,8.753303558065015
1+28/7=5,1,8.752961646917985
7*9-62=1,1,8.752955677249895
14/6*3=7,1,8.752911122694627
18*2/9=4,1,8.752795172512325
19-4*3=7,1,8.752633356078979
3*7-16=5,1,8.752598298071158
19-2*7=5,1,8.752250055891528
1+6*8=49,1,8.752243242455243
648/72=9,1,8.751976770743715
36/4*1=9,1,8.751623879215233
1+6*7=43,1,8.751599342504282
156/2=78,1,8.751523120075078
6*4-15=9,1,8.751411775650777
4*9-35=1,1,8.751090391953227
18*2/4=9,1,8.75108625898046
468/52=9,1,8.751064975541714
3*8-19=5,1,8.750633221554526
7*3-19=2,1,8.750311727291452
7*6-34=8,1,8.750193848227319
27-6*4=3,1,8.7499898046612
3*8-15=9,1,8.74991768667426
17-6*2=5,1,8.74986915833235
2+18/6=5,1,8.749606727159417
7*3-12=9,1,8.749593922018441
6*8-43=5,1,8.749530512229056
6*9/1=54,1,8.74943016829186
6*7-34=8,1,8.748661864473075
32*1/8=4,1,8.748588926829939
6*4-19=5,1,8.748573320931902
8*6-47=1,1,8.748541869283743
9*6/1=54,1,8.748238045278047
14/7*3=6,1,8.748175645412873
19-5*3=4,1,8.74816071496838
6*9-53=1,1,8.74790233362994
5*6-29=1,1,8.747372156684179
2+18/9=4,1,8.74727017826776
29-3*7=8,1,8.747012311730813
27-3*6=9,1,8.746921729419215
7*4-23=5,1,8.746670620138763
5*7-34=1,1,8.746575713025962
9*8/1=72,1,8.746287571136032
42/6*1=7,1,8.746181033280573
2*4+8=16,1,8.746018834518692
7*3-15=6,1,8.745828279833784
9*4-31=5,1,8.745348185704092
